평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,대출권수,도서예산
2020,LIBTYPE000002004,2030411002,강서점자도서관,서울,강서구,2636,131,1000000
2020,LIBTYPE000002004,2030442002,강원점자도서관,강원,춘천시,11495,12360,20000000
2020,LIBTYPE000002004,2030441001,경기북부시각장애인점자도서관,경기,의정부시,2841,2151,11000000
2020,LIBTYPE000002004,2030448001,경남점자정보도서관,경남,창원시,1345,12203,20000000
2020,LIBTYPE000002004,2030447001,경북점자도서관,경북,포항시,202,2660,3600000
2020,LIBTYPE000002004,2030424001,광주점자도서관,광주,광주,1922,7573,2000000
2020,LIBTYPE000002004,2020422009,달구벌점자도서관,대구,대구,2762,470,0
2020,LIBTYPE000002004,2020447001,대구대학교점자도서관,경북,경산시,985,30,0
2020,LIBTYPE000002004,,대구점자도서관,대구,달서구,469,7564,24120000
2020,LIBTYPE000002004,2030425001,대전점자도서관,대전,중구,17541,2984,7500000
2020,LIBTYPE000002004,2030411004,마포점자도서실,서울,마포구,2268,33,1200000
2020,LIBTYPE000002004,2030443001,무지개도서관,충북,청주시,6401,7002,6800000
2020,LIBTYPE000002004,2030421001,부산점자도서관,부산,사상구,9614,60150,6000000
2020,LIBTYPE000002004,2030411007,서울점자도서관,서울,노원구,0,0,0
2020,LIBTYPE000002004,2030441004,성남시한마음점자도서관,경기,성남시,14975,1456,25469000
2020,LIBTYPE000002004,,성북점자도서관,서울,성북구,5148,5570,6300000
2020,LIBTYPE000002004,2030423001,송암점자도서관,인천,남구,7247,1517,5700000
2020,LIBTYPE000002004,2030411009,실로암점자도서관,서울,관악구,17326,0,0
2020,LIBTYPE000002004,2030411021,영광시각장애인모바일점자도서관,서울,서대문구,3,0,406000
2020,LIBTYPE000002004,2030431001,울산광역시점자도서관,울산,남구,4179,48248,6033000
2020,LIBTYPE000002004,2030446002,전남점자도서관,전남,목포시,11620,5,0
2020,LIBTYPE000002004,,전라남도시각장애인점자도서관,전남,목포시,1888,3312,11250000
2020,LIBTYPE000002004,2030445003,전라북도점자도서관,전북,전주시,8408,3467,21276000
2020,LIBTYPE000002004,2030449001,제주도문화정보점자도서관,제주,제주시,10044,5503,18000000
2020,LIBTYPE000002004,2030449002,제주점자도서관,제주,제주시,3842,2805,2000000
2020,LIBTYPE000002004,2030444001,충청남도점자도서관,충남,천안시,2364,27051,4000000
2020,LIBTYPE000002004,,하상시각장애인도서관,서울,강남구,14273,3876,6290000
2020,LIBTYPE000002004,2030411013,한국시각장애인복지재단 점자도서관,서울,강동구,890,888,7670000
2020,LIBTYPE000002004,2030411014,한국점자도서관,서울,강동구,29148,16282,25000000
2020,LIBTYPE000002004,2030411016,한국학생점자도서관,서울,종로구,7233,,14658000
2020,LIBTYPE000002004,2030411020,서대문농아복지관 수어영상도서관,서울,서대문구,7453,695,1500000
2020,LIBTYPE000002004,2030411018,소리샘도서관,서울,동작구,5000,0,0
